1,"Lao","Bệnh Lao là bệnh truyền nhiễm lây qua đường hô hấp, trẻ nhỏ có thể mắc lao kê, lao màng não rất nguy hiểm. Tiêm vắc xin BCG phòng lao cho trẻ trong vòng 1 tháng sau khi sinh sẽ góp phần làm giảm nguy cơ mắc bệnh lao.",2,"Lao",1
2,"Viêm gan B","Viêm gan B là bệnh rất dễ lây qua đường tiêm chích (dùng chung bơm kim tiêm), quan hệ tình dục, lây truyền từ mẹ sang con (trong quá trình chuyển dạ đẻ). Bệnh thường gây nên xơ gan, ung thư gan ảnh hưởng lớn đến sức khỏe cộng đồng. Bệnh có thể phòng được bằng cách tiêm đầy đủ vắc xin viêm gan B: mũi 1 trong vòng 24h đầu sau khi sinh, mũi 2 khi trẻ 1 tháng tuổi, mũi 3 khi trẻ 2 tuổi, nhắc lần 1 sau 1 năm và nhắc lại lần 2 sau 8 năm.",2,"Viêm gan B",5
3,"Viêm dạ dày ruột do Rota virus (Bỉ)","Rotavirus là nguyên nhân của khoảng 60% trẻ dưới 5 tuổi phải nhập viện vì viêm dạ dày ruột - tiêu chảy nặng. Trẻ mắc rotavirus thường biểu hiện sốt, nôn và tiêu chảy mất nước và phải truyền dịch bù nước. Bệnh không có thuốc điều trị đặc hiệu. Trẻ cần được uống vắc xin càng sớm càng tốt, có thể bắt đầu uống liều 1 từ lúc 1,5 - 2 tháng tuổi. Uống đủ liều là biện pháp tốt nhất để phòng bệnh.",2,"Rota virus",2
4,"Viêm dạ dày ruột do Rota virus (Mỹ)","Rotavirus là nguyên nhân của khoảng 60% trẻ dưới 5 tuổi phải nhập viện vì viêm dạ dày ruột - tiêu chảy nặng. Trẻ mắc rotavirus thường biểu hiện sốt, nôn và tiêu chảy mất nước và phải truyền dịch bù nước. Bệnh không có thuốc điều trị đặc hiệu. Trẻ cần được uống vắc xin càng sớm càng tốt, có thể bắt đầu uống liều 1 từ lúc 1,5 - 2 tháng tuổi. Uống đủ liều là biện pháp tốt nhất để phòng bệnh.",2,"Rota virus",3
5,"Bạch hầu, Ho gà, Uốn ván, Bại liệt, viêm màng não mủ, viêm mũi họng, viêm phổi... do Hib","Bệnh bạch hầu là bệnh truyền nhiễm lây qua đường hô hấp, bệnh có thể gây biến chứng nặng ở tim và thần kinh. Bệnh ho gà là bệnh truyền nhiễm lây qua đường hô hấp, triệu chứng là ho thành cơn, thường nôn và kiệt sức sau cơn ho. Bệnh viêm phổi và viêm màng não mủ do Hib là những bệnh truyền nhiễm do vi khẩn Heamophilus influenzae tyb B gây ra, bệnh lây qua đường hô hấp và thường gặp ở trẻ nhỏ.Viêm màng não do Hib có thể để lại di chứng thần kinh vĩnh viễn, tổn thương não, điếc, rối loạn tâm thần, tỷ lệ tử vong cao.",2,"BH, HG, UV, BL, Hib",5
6,"Cúm","Bệnh cúm là bệnh truyền nhiễm virus cấp tính đường hô hấp với triệu chứng chủ yếu là sốt, đau đầu, đau cơ, mệt mỏi, đau họng và ho. Bệnh nguy hiểm là do lây lan nhanh gây thành dịch, biến chứng chủ yếu là viêm phổi hoặc bội nhiễm vi khuẩn. Bệnh có thể phòng bằng vắc xin, liều đầu tiên cho trẻ từ 6 tháng tuổi và tiêm nhắc lại hàng năm.",2,"Cúm",5
7,"Sởi, Quai bị, Rubella","Bệnh sởi là bệnh truyền nhiễm lây qua đường hô hấp, ở trẻ em bệnh gây suy giảm miễn dịch nên dễ biến chứng viêm phổi, tiêu chảy, suy dinh dưỡng dẫn đến tử vong. Bệnh quai bị là bệnh truyền nhiễm lây qua đường hô hấp. Biểu hiện sưng tuyến nước bọt phía dưới và trước tai là triệu chứng nổi bật của bệnh. Biến chứng thường gặp là viêm tinh hoàn hoặc buồng trứng dẫn đến vô sinh, ngoài ra còn có thể gặp biến chứng viêm não, màng não, điếc... Bệnh Rubella là bệnh truyền nhiễm dễ lây qua đường hô hấp, bệnh thường nhẹ ở trẻ với biểu hiện ban, sốt nhẹ và sưng bạch cổ... nhưng đặc biệt nguy hiểm với phụ nữ mang thai. Phụ nữ mang thai mắc Rubella gây nên hội chứng Rubella bẩm sinh cho trẻ sinh ra (thường là những dị tật bẩm sinh như đục thủy tinh thể, điếc, chậm phát triển trí tuệ...)",2,"Sởi, QB, Rubella",3
8,"Thủy đậu","Thủy đậu là bệnh truyền nhiễm lây qua đường hô hấp, tiếp xúc trực tiếp qua mụn nước trên da hoặc có thể truyền từ mẹ sang con. Bệnh có thể có những biến chứng như bội nhiễm nốt rạ để lại sẹo vĩnh viễn hoặc biến chứng nhiễm trùng huyết, viêm mô tế bào, viêm phổi, viêm gan, viêm não... Bệnh có thể phòng được bằng cách tiêm vắc xin phòng bệnh thủy đậu khi trẻ đủ 12 tháng tuổi.",2,"Thủy đậu",1
9,"Viêm não Nhật Bản","Bệnh VNNB là bệnh truyền nhiễm do muỗi truyền, bệnh thường gặp ở trẻ dưới 15 tuổi với biểu hiện viêm não, màng não và có thể tiến triển nặng dẫn đến tử vong. Những trường hợp qua khỏi thường để lại di chứng nặng nề về tinh thần và vận động (liệt, rối loạn tâm thần...) Bệnh không có thuốc điều trị đặc hiệu nên tiêm vắc xin phòng viêm não Nhật Bản khi trẻ đủ 12 tháng tuổi là biện pháp tốt nhất để phòng bệnh.",2,"Viêm não Nhật Bản",7
10,"Viêm gan A","Bệnh viêm gan A là bệnh truyền nhiễm cấp tính gây dịch. Bệnh lây qua đường tiêu hóa, gây tổn thương chủ yếu ở nhu mô gan. Biến chứng cũng có thể dẫn đến xơ gan, ung thư gan. Bệnh có thể phòng bằng vắc xin viêm gan A, liều đầu tiên từ lúc trẻ 1 tuổi, liều 2 sau liều 1 tối thiểu 6 tháng.",2,"Viêm gan A",2
11,"Viêm màng não do mô cầu","Bệnh viêm màng não do mô cầu là bệnh truyền nhiễm lây qua đường hô hấp, bệnh có tỉ lệ tử vong cao (đến 50% ở trẻ em), những trường hợp qua khỏi vẫn phải chịu biến chứng như: tâm thần, điếc, liệt, động kinh... Phòng bệnh bằng cách tiêm vắc xin phòng bệnh não mô cầu cho trẻ từ 24 tháng tuổi trở lên.",2,"Viêm màng não",5
12,"Viêm phổi do Phế cầu khuẩn","Bệnh viêm phổi do phế cầu khuẩn là bệnh nhiễm khuẩn cấp tính. Bệnh khởi phát đột ngột với các biểu hiện như sốt, rét run, khó thở, ho có đờm màu gỉ sắt. Nếu không kịp điều trị kịp thời tỷ lệ tử vong cao. Vắc xin phòng bệnh do phế cầu dùng cho trẻ từ 2 tuổi trở lên.",2,"Viêm phổi",5
13,"Thương hàn","Bệnh thương hàn là bệnh lây truyền qua đường tiêu hóa. Biểu hiện chính của bệnh là sốt tăng dần, rối loạn tiêu hóa, gan to. Chảy máu ruột và thủng ruột là biến chứng thường gặp và gây tử vong. Dùng vắc xin phòng bệnh là phương pháp đặc hiệu, chủ động và có hiệu quả.",2,"Thương hàn",6
14,"Ung thư cổ tử cung (Gardasil - Mỹ)","Ung thư cổ tử cung (UTCTC) là bệnh nguy hiểm. Số người mắc bệnh UTCTC ở phụ nữ đứng thứ 2 trên thế giới sau ung thư vú. Hàng năm, thế giới có khoảng 520.000 phụ nữ mới mắc UTCTC và hơn 274.000 người tử vong vì căn bệnh này, có tới 80% ca tử vong xảy ra ở các nước đang phát triển, trong đó có Việt Nam. Bệnh tiến triển âm thầm thường không có biểu hiện rõ, khi phát hiện được thường ở giai đoạn muộn (giai đoạn tiền ung thư hoặc ung thư). Tiêm vắc xin cho nữ từ 9 tuổi đến 26 tuổi kết hợp với kiểm tra định kỳ là biện pháp tốt nhất để phòng bệnh.",0,"UTCTC (Mỹ)",3
15,"Ung thư cổ tử cung (Cervarix - Bỉ)","Ung thư cổ tử cung (UTCTC) là bệnh nguy hiểm. Số người mắc bệnh UTCTC ở phụ nữ đứng thứ 2 trên thế giới sau ung thư vú. Hàng năm, thế giới có khoảng 520.000 phụ nữ mới mắc UTCTC và hơn 274.000 người tử vong vì căn bệnh này, có tới 80% ca tử vong xảy ra ở các nước đang phát triển, trong đó có Việt Nam. Bệnh tiến triển âm thầm thường không có biểu hiện rõ, khi phát hiện được thường ở giai đoạn muộn (giai đoạn tiền ung thư hoặc ung thư). Tiêm vắc xin cho nữ từ 9 tuổi đến 26 tuổi kết hợp với kiểm tra định kỳ là biện pháp tốt nhất để phòng bệnh.",0,"UTCTC (Bỉ)",3